n	ref	sha	parent_sha	date	author	message	files	insertions	deletions	has_untracked	bundle_artifacts
23	stash@{23}	fa679c593966f4f4ef3b38c5891cdfc29169246a	8b1fcb8e87ff606f6d5fef1a592bd78bca75c912	2026-04-15 16:22:14 -0600	Josh	fix(writer): redrive retry_count cast defensive [bd-28w7j]	10	228	10	false	diffs/023.diff,meta/023.txt,refs/stash-backup/023
24	stash@{24}	0bdb2e6f435e32024c9f118ddf5e288aed8d9989	2b26ce8c7920a3a992d9759a7c5ca1512ce459ed	2026-04-13 21:19:55 -0600	Josh	feat(ops): loop_guard + BUDGET + STATE scaffolding for overnight ecosystem loop	245	1541	83088	false	diffs/024.diff,meta/024.txt,refs/stash-backup/024
25	stash@{25}	194b6fe29dda1c42f9f741d2dd5ea81e47ce662d	402592bddb6ece60427322fdc2b2614a9719202d	2026-04-13 16:48:38 -0600	Josh	fix(cli): address 20 Grok findings in cli.py	181	3572	2310	false	diffs/025.diff,meta/025.txt,refs/stash-backup/025
26	stash@{26}	75fa3ee83271ad16c7da584ee989cb09800c5637	e2667f74cf96f60858328562d49eb3feff73ff14	2026-04-13 14:42:34 -0600	Josh	fix(engine): address 21 Grok findings in decision_audit.py	47	730	557	false	diffs/026.diff,meta/026.txt,refs/stash-backup/026
27	stash@{27}	5e4bdcfac33b1a55c234068dacd6dff386d972a5	fbffdd87d1910c7b6140f136e7412300d14e7141	2026-04-13 13:37:18 -0600	Josh	fix(ingest): address 10 Grok findings in kalshi_price_snapshots.py	26	278	188	false	diffs/027.diff,meta/027.txt,refs/stash-backup/027
28	stash@{28}	50cca3c83e36f1451758abe2e35e11f52b2936da	65e7ccbe613baeb049443a4a6ea9c608a1bc8a51	2026-04-13 13:21:15 -0600	Josh	fix: address 11 Grok findings in edge_refresh.py	245	9797	83475	false	diffs/028.diff,meta/028.txt,refs/stash-backup/028
29	stash@{29}	87ce69666043a397491ce4ae0e9cc59ad1da5970	f8dbc5c97e155f5bde07ec3c808e2e2602afcb39	2026-04-12 17:42:41 -0600	Josh	incomplete P2 cron label fix — needs proper bead	1	134	22	false	diffs/029.diff,meta/029.txt,refs/stash-backup/029
30	stash@{30}	561e8970a3d276560ab9787d15693f3aef562d42	0e593c789e6180fb82ab41dc3ca845d3ccf1bf17	2026-04-10 08:23:57 -0600	Josh	session68-bg-worker-wip: incomplete Phase 1B for compute_features/edge_analyzer/kalshi_trade_tape	3	94	4	false	diffs/030.diff,meta/030.txt,refs/stash-backup/030
31	stash@{31}	75d9dbfaf00cc9567f3149a2b4b2b0d95830106b	bd0d83e2c67725a97853344e3637e17f2b0af170	2026-04-09 01:09:14 -0600	Josh	fix(tui): stability — 15s tick, 2s DB timeout to prevent freeze	308	8562	96354	false	diffs/031.diff,meta/031.txt,refs/stash-backup/031
32	stash@{32}	b89c1afd24576ff5fa7c03a42c347f45400230ca	2a3a33e9f80f59f1388a817ac198e62dda646860	2026-04-08 23:57:21 -0600	Josh	my v4_palette gradient helpers — P1 used StyledText instead	1	73	1	false	diffs/032.diff,meta/032.txt,refs/stash-backup/032
33	stash@{33}	f1f053c707deab4cf3837474a8a17847da6f0a8a	83778d0c68ac5b4b104e8b0943dba6dbe42e4d98	2026-04-07 21:11:18 -0600	Josh	fix(test): correct temperature ladder test expectations for concentrated calibrator	85	85	30612	false	diffs/033.diff,meta/033.txt,refs/stash-backup/033
